,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2518,184,127.8,7.31,"[0.55, 0.52, 0.51, 0.54, 0.51]",0.53
1,1066,1618,639,56,34.0,8.76,"[0.6, 0.59, 0.59, 0.65, 0.63]",0.61
2,7673,1716,598,43,59.4,7.19,"[0.65, 0.6, 0.63, 0.59, 0.63]",0.62
3,11012,1736,3709,301,164.0,8.12,"[0.45, 0.43, 0.49, 0.48, 0.47]",0.46
4,9001,1720,3346,164,190.8,4.9,"[0.56, 0.56, 0.6, 0.57, 0.59]",0.58
5,1090,1626,3484,192,178.0,5.51,"[0.47, 0.47, 0.45, 0.47, 0.46]",0.46
6,1430,1686,2042,179,110.4,8.77,"[0.57, 0.53, 0.57, 0.58, 0.57]",0.56
7,2665,1746,231,21,11.0,9.09,"[0.67, 0.55, 0.62, 0.69, 0.58]",0.62
8,1439,1686,380,49,26.0,12.89,"[0.64, 0.54, 0.58, 0.58, 0.57]",0.58
9,1595,1697,2649,178,145.0,6.72,"[0.59, 0.56, 0.56, 0.58, 0.58]",0.57
10,2693,1747,419,26,17.2,6.21,"[0.59, 0.5, 0.57, 0.55, 0.56]",0.55
11,3476,1777,2161,138,142.2,6.39,"[0.58, 0.55, 0.62, 0.61, 0.59]",0.59
12,8596,1707,1482,159,135.2,10.73,"[0.73, 0.72, 0.72, 0.72, 0.7]",0.72
13,1348,1679,272,32,20.0,11.76,"[0.53, 0.52, 0.55, 0.53, 0.53]",0.53
14,4071,1713,475,58,19.0,12.21,"[0.38, 0.41, 0.43, 0.41, 0.39]",0.4
