,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2602,186,78.2,7.15,"[0.43, 0.4, 0.44, 0.44, 0.43]",0.43
1,1066,1618,648,58,26.8,8.95,"[0.52, 0.48, 0.44, 0.54, 0.53]",0.5
2,7673,1716,611,45,50.4,7.36,"[0.56, 0.53, 0.55, 0.55, 0.56]",0.55
3,11012,1736,3881,301,179.8,7.76,"[0.47, 0.43, 0.44, 0.46, 0.46]",0.45
4,9001,1720,3423,166,192.2,4.85,"[0.54, 0.56, 0.53, 0.56, 0.56]",0.55
5,1090,1626,3658,206,159.0,5.63,"[0.44, 0.46, 0.45, 0.45, 0.46]",0.45
6,1430,1686,2088,184,106.6,8.81,"[0.48, 0.51, 0.48, 0.48, 0.5]",0.49
7,2665,1746,242,21,8.8,8.68,"[0.53, 0.55, 0.53, 0.53, 0.53]",0.53
8,1439,1686,389,49,22.6,12.6,"[0.5, 0.41, 0.51, 0.47, 0.39]",0.46
9,1595,1697,2750,182,93.6,6.62,"[0.55, 0.5, 0.52, 0.46, 0.51]",0.51
10,2693,1747,439,26,15.4,5.92,"[0.51, 0.59, 0.59, 0.51, 0.55]",0.55
11,3476,1777,2194,138,87.8,6.29,"[0.49, 0.55, 0.53, 0.49, 0.52]",0.52
12,8596,1707,1523,160,114.2,10.51,"[0.67, 0.66, 0.66, 0.67, 0.68]",0.67
13,1348,1679,281,32,6.6,11.39,"[0.22, 0.25, 0.27, 0.37, 0.22]",0.27
14,4071,1713,489,62,15.8,12.68,"[0.33, 0.33, 0.31, 0.33, 0.29]",0.32
