,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2602,186,99.6,7.15,"[0.41, 0.44, 0.44, 0.44, 0.37]",0.42
1,1066,1618,648,58,25.4,8.95,"[0.45, 0.46, 0.5, 0.49, 0.44]",0.47
2,7673,1716,611,45,52.6,7.36,"[0.57, 0.57, 0.61, 0.59, 0.62]",0.59
3,11012,1736,3881,301,204.6,7.76,"[0.5, 0.44, 0.5, 0.45, 0.46]",0.47
4,9001,1720,3423,166,179.2,4.85,"[0.51, 0.53, 0.54, 0.5, 0.5]",0.52
5,1090,1626,3658,206,161.4,5.63,"[0.43, 0.45, 0.46, 0.46, 0.44]",0.45
6,1430,1686,2088,184,110.2,8.81,"[0.49, 0.49, 0.48, 0.47, 0.5]",0.49
7,2665,1746,242,21,9.6,8.68,"[0.62, 0.58, 0.58, 0.6, 0.55]",0.59
8,1439,1686,389,49,26.2,12.6,"[0.47, 0.53, 0.53, 0.51, 0.51]",0.51
9,1595,1697,2750,182,84.2,6.62,"[0.49, 0.49, 0.49, 0.44, 0.48]",0.48
10,2693,1747,439,26,11.6,5.92,"[0.46, 0.54, 0.42, 0.46, 0.4]",0.46
11,3476,1777,2194,138,92.6,6.29,"[0.53, 0.53, 0.51, 0.44, 0.58]",0.52
12,8596,1707,1523,160,113.4,10.51,"[0.67, 0.65, 0.62, 0.65, 0.65]",0.65
13,1348,1679,281,32,12.2,11.39,"[0.29, 0.48, 0.43, 0.45, 0.37]",0.4
14,4071,1713,489,62,18.0,12.68,"[0.35, 0.38, 0.4, 0.35, 0.27]",0.35
