,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2602,186,95.0,7.15,"[0.37, 0.36, 0.37, 0.34, 0.37]",0.36
1,1066,1618,553,51,33.4,9.22,"[0.58, 0.6, 0.55, 0.58, 0.6]",0.58
2,7673,1716,611,45,44.6,7.36,"[0.48, 0.45, 0.45, 0.46, 0.49]",0.47
3,11012,1736,3881,301,237.8,7.76,"[0.47, 0.4, 0.38, 0.41, 0.44]",0.42
4,9001,1720,3423,166,128.2,4.85,"[0.4, 0.4, 0.35, 0.36, 0.39]",0.38
5,1090,1626,3575,205,172.8,5.73,"[0.38, 0.41, 0.39, 0.38, 0.39]",0.39
6,1430,1686,2043,184,108.0,9.01,"[0.47, 0.47, 0.47, 0.46, 0.47]",0.47
7,2665,1746,242,21,9.4,8.68,"[0.53, 0.62, 0.55, 0.58, 0.6]",0.58
8,1439,1686,389,49,17.2,12.6,"[0.49, 0.41, 0.41, 0.48, 0.42]",0.44
9,1595,1697,2750,182,90.4,6.62,"[0.45, 0.44, 0.47, 0.44, 0.47]",0.45
10,2693,1747,439,26,12.4,5.92,"[0.37, 0.42, 0.43, 0.4, 0.41]",0.41
11,3476,1777,2194,138,96.4,6.29,"[0.42, 0.36, 0.42, 0.37, 0.39]",0.39
12,8596,1707,1523,160,114.4,10.51,"[0.61, 0.65, 0.59, 0.63, 0.62]",0.62
13,1348,1679,281,32,13.0,11.39,"[0.48, 0.45, 0.37, 0.45, 0.42]",0.43
14,4071,1713,489,62,16.2,12.68,"[0.28, 0.27, 0.33, 0.29, 0.29]",0.29
