,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2602,186,104.2,7.15,"[0.42, 0.4, 0.4, 0.38, 0.41]",0.4
1,1066,1618,573,51,38.4,8.9,"[0.53, 0.53, 0.49, 0.48, 0.55]",0.52
2,7673,1716,611,45,52.0,7.36,"[0.55, 0.55, 0.52, 0.48, 0.57]",0.53
3,11012,1736,3881,301,232.6,7.76,"[0.46, 0.5, 0.47, 0.48, 0.48]",0.48
4,9001,1720,3423,166,168.8,4.85,"[0.5, 0.47, 0.5, 0.47, 0.5]",0.49
5,1090,1626,3588,205,195.0,5.71,"[0.41, 0.41, 0.41, 0.41, 0.41]",0.41
6,1430,1686,2066,184,113.2,8.91,"[0.46, 0.52, 0.48, 0.43, 0.47]",0.47
7,2665,1746,242,21,13.2,8.68,"[0.56, 0.51, 0.63, 0.54, 0.56]",0.56
8,1439,1686,389,49,34.0,12.6,"[0.64, 0.64, 0.59, 0.6, 0.54]",0.6
9,1595,1697,2750,182,122.6,6.62,"[0.49, 0.49, 0.52, 0.54, 0.56]",0.52
10,2693,1747,439,26,16.8,5.92,"[0.52, 0.56, 0.55, 0.52, 0.51]",0.53
11,3476,1777,2194,138,129.6,6.29,"[0.52, 0.5, 0.53, 0.52, 0.53]",0.52
12,8596,1707,1523,160,118.6,10.51,"[0.65, 0.64, 0.65, 0.64, 0.64]",0.64
13,1348,1679,281,32,12.0,11.39,"[0.45, 0.37, 0.4, 0.43, 0.43]",0.42
14,4071,1713,489,62,17.0,12.68,"[0.38, 0.4, 0.33, 0.35, 0.31]",0.35
