,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2518,184,106.6,7.31,"[0.38, 0.35, 0.35, 0.36, 0.41]",0.37
1,1066,1618,586,51,27.8,8.7,"[0.62, 0.52, 0.49, 0.4, 0.53]",0.51
2,7673,1716,598,43,39.6,7.19,"[0.56, 0.57, 0.52, 0.54, 0.52]",0.54
3,11012,1736,3709,301,194.0,8.12,"[0.43, 0.4, 0.37, 0.36, 0.37]",0.39
4,9001,1720,3346,164,160.0,4.9,"[0.39, 0.39, 0.43, 0.42, 0.45]",0.42
5,1090,1626,3432,191,132.4,5.57,"[0.39, 0.37, 0.38, 0.38, 0.37]",0.38
6,1430,1686,2042,181,111.6,8.86,"[0.45, 0.5, 0.46, 0.48, 0.46]",0.47
7,2665,1746,231,21,11.6,9.09,"[0.58, 0.58, 0.52, 0.53, 0.67]",0.58
8,1439,1686,380,49,21.0,12.89,"[0.53, 0.45, 0.46, 0.39, 0.43]",0.45
9,1595,1697,2649,178,82.2,6.72,"[0.52, 0.44, 0.46, 0.43, 0.45]",0.46
10,2693,1747,419,26,13.6,6.21,"[0.45, 0.42, 0.35, 0.36, 0.44]",0.4
11,3476,1777,2161,138,111.6,6.39,"[0.45, 0.45, 0.52, 0.49, 0.48]",0.48
12,8596,1707,1482,159,109.6,10.73,"[0.6, 0.63, 0.59, 0.59, 0.6]",0.6
13,1348,1679,272,32,14.0,11.76,"[0.44, 0.4, 0.43, 0.47, 0.43]",0.43
14,4071,1713,475,58,16.0,12.21,"[0.3, 0.35, 0.3, 0.35, 0.37]",0.33
