,inv_nr,year,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,all_f1,average_f1
0,1160,1647,2518,184,120.4,7.31,"[0.38, 0.41, 0.34, 0.37, 0.36]",0.37
1,1066,1618,577,50,40.8,8.67,"[0.5, 0.49, 0.53, 0.55, 0.51]",0.52
2,7673,1716,598,43,50.0,7.19,"[0.55, 0.55, 0.54, 0.56, 0.49]",0.54
3,11012,1736,3709,301,230.0,8.12,"[0.46, 0.37, 0.34, 0.46, 0.41]",0.41
4,9001,1720,3346,164,177.4,4.9,"[0.44, 0.42, 0.43, 0.41, 0.39]",0.42
5,1090,1626,3413,191,168.2,5.6,"[0.45, 0.35, 0.37, 0.4, 0.39]",0.39
6,1430,1686,2006,179,121.0,8.92,"[0.47, 0.51, 0.49, 0.49, 0.5]",0.49
7,2665,1746,231,21,8.8,9.09,"[0.48, 0.55, 0.5, 0.6, 0.55]",0.54
8,1439,1686,380,49,21.8,12.89,"[0.41, 0.51, 0.45, 0.56, 0.41]",0.47
9,1595,1697,2649,178,97.4,6.72,"[0.52, 0.55, 0.57, 0.44, 0.41]",0.5
10,2693,1747,419,26,16.6,6.21,"[0.44, 0.42, 0.5, 0.45, 0.44]",0.45
11,3476,1777,2161,138,96.0,6.39,"[0.53, 0.47, 0.41, 0.4, 0.37]",0.44
12,8596,1707,1482,159,109.0,10.73,"[0.6, 0.62, 0.63, 0.64, 0.61]",0.62
13,1348,1679,272,32,12.2,11.76,"[0.32, 0.43, 0.43, 0.47, 0.29]",0.39
14,4071,1713,475,58,15.2,12.21,"[0.29, 0.37, 0.33, 0.33, 0.42]",0.35
