,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,100,7.148347425057648,0.59,0.3172043010752688,0.41258741258741255,0.7647058823529411,0.20967741935483872,0.3291139240506329,0.9492406075139888,0.9830298013245033,0.9658397722651484,0.7696203037569944,0.650117051199886,0.704839216458109
1,1066,1618,4,648,58,22,8.950617283950617,0.8181818181818182,0.3103448275862069,0.45000000000000007,0.8461538461538461,0.1896551724137931,0.30985915492957744,0.9361022364217252,0.9932203389830508,0.9638157894736842,0.8771420273017717,0.6517825832846289,0.7478536122758784
2,7673,1716,3_ESTA,611,45,53,7.3649754500818325,0.5283018867924528,0.6222222222222222,0.5714285714285715,0.6875,0.24444444444444444,0.360655737704918,0.9695340501792115,0.9558303886925795,0.9626334519572954,0.7489179684858321,0.7890263054574009,0.7684491405529946
3,11012,1736,3,3881,301,211,7.7557330584900805,0.6018957345971564,0.4219269102990033,0.49609375000000006,0.9035087719298246,0.34219269102990035,0.4963855421686747,0.9525885558583106,0.976536312849162,0.9644137931034482,0.7772421452277335,0.6992316115740826,0.7361760075818731
4,9001,1720,2,3423,166,172,4.849547180835525,0.5058139534883721,0.5240963855421686,0.5147928994082841,0.625,0.18072289156626506,0.2803738317757009,0.9756997846816364,0.9739023641387781,0.97480024585126,0.7407568690850043,0.7489993748404733,0.7448553199434803
5,1090,1626,2,3658,206,162,5.6314926189174415,0.4876543209876543,0.38349514563106796,0.42934782608695654,0.7164179104477612,0.23300970873786409,0.3516483516483516,0.9636727688787186,0.9759559675550405,0.9697754749568221,0.7256635449331864,0.6797255565930542,0.7019437626822798
6,1430,1686,4,2088,184,115,8.812260536398467,0.6434782608695652,0.40217391304347827,0.4949832775919732,0.875,0.15217391304347827,0.2592592592592593,0.9442473390775469,0.9784663865546218,0.9610523600722208,0.793862799973556,0.6903201497990501,0.7384796962956642
7,2665,1746,3_ESTA,242,21,11,8.677685950413224,0.9090909090909091,0.47619047619047616,0.6249999999999999,1.0,0.2857142857142857,0.4444444444444445,0.9523809523809523,0.995475113122172,0.9734513274336283,0.9307359307359306,0.7358327946563241,0.8218875232274386
8,1439,1686,3_ESTA,389,49,27,12.596401028277635,0.6666666666666666,0.3673469387755102,0.47368421052631576,1.0,0.12244897959183673,0.2181818181818182,0.914364640883978,0.9735294117647059,0.9430199430199431,0.7905156537753223,0.6704381752701081,0.7255422613675256
9,1595,1697,3,2750,182,91,6.618181818181817,0.7362637362637363,0.36813186813186816,0.4908424908424909,0.9508196721311475,0.31868131868131866,0.47736625514403286,0.9567506581421588,0.9906542056074766,0.9734073082073846,0.8465071972029475,0.6793930368696723,0.7537990788621567
10,2693,1747,3,439,26,13,5.922551252847381,0.6923076923076923,0.34615384615384615,0.46153846153846156,0.625,0.19230769230769232,0.29411764705882354,0.960093896713615,0.9903147699757869,0.9749702026221693,0.8262007945106536,0.6682343080648165,0.7388687742826184
11,3476,1777,2,2194,138,95,6.289881494986327,0.6526315789473685,0.4492753623188406,0.5321888412017168,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.9637922820390662,0.9839494163424124,0.9737665463297231,0.8082119304932174,0.7166123893306264,0.7596608672442635
12,8596,1707,4,1523,160,114,10.505581089954038,0.8070175438596491,0.575,0.6715328467153284,0.9655172413793104,0.175,0.29629629629629634,0.9517388218594748,0.9838591342626559,0.9675324675324675,0.8793781828595619,0.7794295671313279,0.8263927587928456
13,1348,1679,3_ESTA,281,32,10,11.387900355871885,0.6,0.1875,0.2857142857142857,0.75,0.28125,0.4090909090909091,0.9040590405904059,0.9839357429718876,0.9423076923076923,0.752029520295203,0.5857178714859438,0.6585355839646637
14,4071,1713,4,489,62,18,12.678936605316974,0.7777777777777778,0.22580645161290322,0.35000000000000003,0.7,0.11290322580645161,0.19444444444444445,0.8980891719745223,0.990632318501171,0.9420935412026726,0.83793347487615,0.6082193850570371,0.704831967529939
