inv_nr	year	round	#tokens	#gold_event_tokens	#predicted_event_tokens	gold_event_density	P-event	R-event	f1-event	lex_precision	lex_recall	lex_f1	P-none	R-none	f1-none	P-macro	R-macro	f1-macro
1160	1647	2	2602	186	107	7.148347425057648	0.5981308411214953	0.34408602150537637	0.43686006825938567	0.76	0.20430107526881722	0.3220338983050847	0.9511022044088177	0.9822019867549668	0.9664019547953573	0.7746165227651565	0.6631440041301716	0.7145589170974272
1066	1618	4	648	58	30	8.950617283950617	0.7333333333333333	0.3793103448275862	0.5	0.8461538461538461	0.1896551724137931	0.30985915492957744	0.941747572815534	0.9864406779661017	0.9635761589403974	0.8375404530744337	0.6828755113968439	0.7523413047134613
7673	1716	3_ESTA	611	45	57	7.3649754500818325	0.543859649122807	0.6888888888888889	0.6078431372549019	0.6875	0.24444444444444444	0.360655737704918	0.9747292418772563	0.9540636042402827	0.9642857142857143	0.7592944455000317	0.8214762465645857	0.7891623424673255
11012	1736	3	3881	301	191	7.7557330584900805	0.6387434554973822	0.4053156146179402	0.49593495934959353	0.9035087719298246	0.34219269102990035	0.4963855421686747	0.951490514905149	0.9807262569832402	0.9658872077028887	0.7951169852012656	0.6930209358005902	0.7405667302452109
9001	1720	2	3423	166	188	4.849547180835525	0.5053191489361702	0.572289156626506	0.536723163841808	0.625	0.18072289156626506	0.2803738317757009	0.9780525502318392	0.9714461160577218	0.9747381392483055	0.7416858495840047	0.771867636342114	0.7564758152917275
3598	1781	3	3712	661	39	17.807112068965516	1.0	0.059001512859304085	0.11142857142857143	1.0	0.1649016641452345	0.2831168831168831	0.8306561393955895	1.0	0.9074955383700178	0.9153280696977948	0.529500756429652	0.6708987203492072
1348	1679	3_ESTA	281	32	14	11.387900355871885	0.7142857142857143	0.3125	0.43478260869565216	0.75	0.28125	0.4090909090909091	0.9176029962546817	0.9839357429718876	0.9496124031007753	0.8159443552701979	0.6482178714859438	0.7224741952208675
1090	1626	2	3658	206	172	5.6314926189174415	0.5058139534883721	0.4223300970873786	0.46031746031746024	0.7164179104477612	0.23300970873786409	0.3516483516483516	0.9658634538152611	0.9753765932792584	0.9705967137503604	0.7358387036518166	0.6988533451833185	0.716869296069434
1430	1686	4	2088	184	109	8.812260536398467	0.6513761467889908	0.3858695652173913	0.484641638225256	0.875	0.15217391304347827	0.2592592592592593	0.942900454775139	0.9800420168067226	0.9611125418490858	0.7971383007820649	0.682955791012057	0.7356427159258582
2665	1746	3_ESTA	242	21	10	8.677685950413224	0.9	0.42857142857142855	0.5806451612903225	1.0	0.2857142857142857	0.4444444444444445	0.9482758620689655	0.995475113122172	0.9713024282560707	0.9241379310344828	0.7120232708468003	0.8043311522265408
1439	1686	3_ESTA	389	49	27	12.596401028277635	0.7407407407407407	0.40816326530612246	0.5263157894736843	1.0	0.12244897959183673	0.2181818181818182	0.919889502762431	0.9794117647058823	0.9487179487179488	0.8303151217515858	0.6937875150060024	0.7559363143908306
1595	1697	3	2750	182	85	6.618181818181817	0.7764705882352941	0.3626373626373626	0.49438202247191015	0.9508196721311475	0.31868131868131866	0.47736625514403286	0.9564727954971858	0.992601246105919	0.9742021784827058	0.86647169186624	0.6776193043716409	0.760496559504148
2693	1747	3	439	26	12	5.922551252847381	0.6666666666666666	0.3076923076923077	0.42105263157894735	0.625	0.19230769230769232	0.29411764705882354	0.9578454332552693	0.9903147699757869	0.9738095238095239	0.8122560499609679	0.6490035388340474	0.7215104761758826
3476	1777	2	2194	138	94	6.289881494986327	0.6276595744680851	0.427536231884058	0.5086206896551724	0.9411764705882353	0.34782608695652173	0.5079365079365079	0.9623809523809523	0.982976653696498	0.9725697786333012	0.7950202634245187	0.705256442790278	0.747453000644923
8596	1707	4	1523	160	107	10.505581089954038	0.7757009345794392	0.51875	0.6217228464419476	0.9655172413793104	0.175	0.29629629629629634	0.9456214689265536	0.9823917828319882	0.9636559913637999	0.8606612017529964	0.7505708914159941	0.8018549880500105
4071	1713	4	489	62	19	12.678936605316974	0.8421052631578947	0.25806451612903225	0.3950617283950617	0.7	0.11290322580645161	0.19444444444444445	0.902127659574468	0.9929742388758782	0.9453734671125975	0.8721164613661814	0.6255193775024552	0.7285158806503
