,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,13,7.148347425057648,0.15384615384615385,0.010752688172043012,0.020100502512562818,0.7647058823529411,0.20967741935483872,0.3291139240506329,0.9289300888373889,0.9954470198675497,0.961038961038961,0.5413881213417714,0.5030998540197964,0.5215422125291784
1,1066,1618,4,524,49,19,9.351145038167939,0.5789473684210527,0.22448979591836735,0.32352941176470584,1.0,0.1836734693877551,0.3103448275862069,0.9247524752475248,0.9831578947368421,0.9530612244897959,0.7518499218342887,0.6038238453276047,0.6697553967746352
2,7673,1716,3_ESTA,611,45,22,7.3649754500818325,0.4090909090909091,0.2,0.2686567164179105,0.6875,0.24444444444444444,0.360655737704918,0.9388794567062818,0.9770318021201413,0.9575757575757575,0.6739851828985954,0.5885159010600707,0.6283574758937627
3,11012,1736,3,3881,301,57,7.7557330584900805,0.7192982456140351,0.1362126245847176,0.22905027932960895,0.9035087719298246,0.34219269102990035,0.4963855421686747,0.9320083682008368,0.9955307262569832,0.9627228525121555,0.8256533069074359,0.5658716754208504,0.6715133770932932
4,9001,1720,2,3417,165,18,4.8287971905179985,0.2777777777777778,0.030303030303030304,0.0546448087431694,0.6170212765957447,0.17575757575757575,0.27358490566037735,0.9529273315681083,0.9960024600246002,0.9739888738535558,0.615352554672943,0.5131527451638153,0.5596249352478265
5,1090,1626,2,3526,198,0,5.615428247305728,0.0,0.0,0.0,0.7121212121212122,0.23737373737373738,0.3560606060606061,0.9438457175269427,1.0,0.9711117595564633,0.47192285876347134,0.5,0.48555587977823167
6,1430,1686,4,1963,179,28,9.11869587366276,0.5714285714285714,0.0893854748603352,0.15458937198067632,0.875,0.1564245810055866,0.2654028436018957,0.9157622739018088,0.9932735426008968,0.9529443398763108,0.7435954226651901,0.541329508730616,0.6265426641047678
7,2665,1746,3_ESTA,242,21,0,8.677685950413224,0.0,0.0,0.0,1.0,0.2857142857142857,0.4444444444444445,0.9132231404958677,1.0,0.9546436285097192,0.45661157024793386,0.5,0.4773218142548596
8,1439,1686,3_ESTA,389,49,4,12.596401028277635,0.25,0.02040816326530612,0.037735849056603765,1.0,0.12244897959183673,0.2181818181818182,0.8753246753246753,0.9911764705882353,0.9296551724137931,0.5626623376623376,0.5057923169267707,0.5327138333692049
9,1595,1697,3,2663,176,28,6.609087495306046,0.5714285714285714,0.09090909090909091,0.1568627450980392,0.9491525423728814,0.3181818181818182,0.47659574468085103,0.9392789373814042,0.9951749095295537,0.9664193674345959,0.7553537544049878,0.5430420002193223,0.6318394252358706
10,2693,1747,3,439,26,0,5.922551252847381,0.0,0.0,0.0,0.625,0.19230769230769232,0.29411764705882354,0.9407744874715261,1.0,0.9694835680751174,0.47038724373576307,0.5,0.4847417840375587
11,3476,1777,2,2194,138,3,6.289881494986327,0.0,0.0,0.0,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.9370150616157006,0.9985408560311284,0.9668000941841299,0.4685075308078503,0.4992704280155642,0.48340004709206497
12,8596,1707,4,1517,160,23,10.54713249835201,0.8695652173913043,0.125,0.2185792349726776,0.9655172413793104,0.175,0.29629629629629634,0.9062918340026773,0.997789240972734,0.9498421606453876,0.8879285256969909,0.561394620486367,0.6878773709167241
13,1348,1679,3_ESTA,281,32,2,11.387900355871885,1.0,0.0625,0.11764705882352941,0.75,0.28125,0.4090909090909091,0.8924731182795699,1.0,0.9431818181818181,0.946236559139785,0.53125,0.6804639526950194
14,4071,1713,4,489,62,2,12.678936605316974,0.5,0.016129032258064516,0.03125,0.7,0.11290322580645161,0.19444444444444445,0.8747433264887063,0.9976580796252927,0.9321663019693655,0.6873716632443532,0.5068935559416786,0.5834956273330135
