inv_nr	year	round	#tokens	#gold_event_tokens	#predicted_event_tokens	gold_event_density	P-event	R-event	f1-event	lex_precision	lex_recall	lex_f1	P-none	R-none	f1-none	P-macro	R-macro	f1-macro
1160	1647	2	2602	186	97	7.148347425057648	0.5360824742268041	0.27956989247311825	0.3674911660777385	0.7551020408163265	0.1989247311827957	0.31489361702127655	0.9465069860279441	0.9813741721854304	0.9636252794147531	0.7412947301273741	0.6304720323292743	0.6814067928302884
1066	1618	4	553	51	28	9.22242314647378	0.8214285714285714	0.45098039215686275	0.5822784810126583	1.0	0.17647058823529413	0.3	0.9466666666666667	0.9900398406374502	0.9678675754625121	0.884047619047619	0.7205101163971565	0.7939449467352016
7673	1716	3_ESTA	611	45	43	7.3649754500818325	0.4883720930232558	0.4666666666666667	0.47727272727272724	0.6875	0.24444444444444444	0.360655737704918	0.9577464788732394	0.9611307420494699	0.9594356261022928	0.7230592859482476	0.7138987043580682	0.7184497958809327
11012	1736	3	3881	301	291	7.7557330584900805	0.4742268041237113	0.4584717607973422	0.46621621621621623	0.908256880733945	0.3289036544850498	0.48292682926829267	0.9545961002785516	0.9572625698324022	0.9559274755927475	0.7144114522011314	0.7078671653148723	0.7111242527449527
9001	1720	2	3423	166	136	4.849547180835525	0.4411764705882353	0.3614457831325301	0.3973509933774834	0.625	0.18072289156626506	0.2803738317757009	0.9677517493154852	0.9766656432299662	0.9721882640586798	0.7044641099518603	0.6690557131812481	0.6863035095034937
3598	1781	3	3652	655	72	17.93537787513691	0.9722222222222222	0.10687022900763359	0.19257221458046767	1.0	0.15877862595419848	0.2740447957839262	0.8365921787709497	0.9993326659993327	0.9107495818762353	0.904407200496586	0.5531014475034831	0.6864164166897087
1348	1679	3_ESTA	281	32	14	11.387900355871885	0.7857142857142857	0.34375	0.4782608695652174	0.75	0.28125	0.4090909090909091	0.9213483146067416	0.9879518072289156	0.9534883720930233	0.8535313001605136	0.6658509036144578	0.7480995710797108
1090	1626	2	3575	205	170	5.734265734265734	0.4235294117647059	0.35121951219512193	0.384	0.703125	0.21951219512195122	0.3345724907063197	0.9609397944199707	0.970919881305638	0.9659040590405905	0.6922346030923383	0.66106969675038	0.6762933055035087
1430	1686	4	2043	184	105	9.006363191385217	0.6476190476190476	0.3695652173913043	0.4705882352941176	0.9	0.14673913043478262	0.25233644859813087	0.9401444788441693	0.9800968262506724	0.9597050302870688	0.7938817632316084	0.6748310218209883	0.7295313923034294
2665	1746	3_ESTA	242	21	9	8.677685950413224	0.8888888888888888	0.38095238095238093	0.5333333333333333	1.0	0.2857142857142857	0.4444444444444445	0.944206008583691	0.995475113122172	0.9691629955947136	0.9165474487362899	0.6882137470372764	0.7861363493752649
1439	1686	3_ESTA	389	49	21	12.596401028277635	0.8095238095238095	0.3469387755102041	0.4857142857142857	1.0	0.12244897959183673	0.2181818181818182	0.9130434782608695	0.9882352941176471	0.9491525423728814	0.8612836438923395	0.6675870348139256	0.7521653753558427
1595	1697	3	2750	182	95	6.618181818181817	0.6526315789473685	0.34065934065934067	0.4476534296028881	0.9464285714285714	0.29120879120879123	0.44537815126050423	0.9548022598870056	0.9871495327102804	0.9707064905226882	0.803716919417187	0.6639044366848106	0.7271510821523302
2693	1747	3	439	26	12	5.922551252847381	0.5833333333333334	0.2692307692307692	0.3684210526315789	0.625	0.19230769230769232	0.29411764705882354	0.955503512880562	0.9878934624697336	0.9714285714285715	0.7694184231069476	0.6285621158502515	0.6918941409055965
3476	1777	2	2194	138	122	6.289881494986327	0.4426229508196721	0.391304347826087	0.4153846153846154	0.9387755102040817	0.3333333333333333	0.4919786096256684	0.9594594594594594	0.9669260700389105	0.9631782945736435	0.7010412051395658	0.6791152089324988	0.6899040422439947
8596	1707	4	1523	160	105	10.505581089954038	0.7714285714285715	0.50625	0.6113207547169811	0.9629629629629629	0.1625	0.27807486631016043	0.9442877291960508	0.9823917828319882	0.9629629629629629	0.857858150312311	0.7443208914159941	0.7970666530004638
4071	1713	4	489	62	17	12.678936605316974	0.6470588235294118	0.1774193548387097	0.2784810126582279	0.7777777777777778	0.11290322580645161	0.19718309859154928	0.8919491525423728	0.9859484777517564	0.9365962180200222	0.7695039880358923	0.5816839162952331	0.6625401129343237
