,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,102,7.148347425057648,0.5392156862745098,0.2956989247311828,0.3819444444444444,0.76,0.20430107526881722,0.3220338983050847,0.9476,0.980546357615894,0.9637917005695688,0.7434078431372548,0.6381226411735385,0.686753396641155
1,1066,1618,4,573,51,45,8.900523560209423,0.5111111111111111,0.45098039215686275,0.4791666666666667,0.9,0.17647058823529413,0.2950819672131148,0.946969696969697,0.9578544061302682,0.9523809523809524,0.729040404040404,0.7044173991435655,0.716517422618274
2,7673,1716,3_ESTA,611,45,54,7.3649754500818325,0.4444444444444444,0.5333333333333333,0.4848484848484848,0.6875,0.24444444444444444,0.360655737704918,0.9622980251346499,0.9469964664310954,0.9545859305431879,0.7033712347895471,0.7401648998822143,0.7212991584674308
3,11012,1736,3,3881,301,250,7.7557330584900805,0.524,0.43521594684385384,0.47549909255898365,0.908256880733945,0.3289036544850498,0.48292682926829267,0.9531809418892867,0.9667597765363128,0.9599223408681182,0.7385904709446434,0.7009878616900833,0.7192980654891912
4,9001,1720,2,3423,166,169,4.849547180835525,0.46153846153846156,0.46987951807228917,0.46567164179104487,0.625,0.18072289156626506,0.2803738317757009,0.9729563614013522,0.9720601780779858,0.9725080632775304,0.7172474114699069,0.7209698480751375,0.7191038125120603
5,1090,1626,2,3588,205,187,5.713489409141583,0.43315508021390375,0.3951219512195122,0.413265306122449,0.703125,0.21951219512195122,0.3345724907063197,0.9635401352543369,0.9686668637304168,0.9660966981132075,0.6983476077341203,0.6818944074749644,0.6900229422668027
6,1430,1686,4,2066,184,106,8.906098741529526,0.5943396226415094,0.3423913043478261,0.43448275862068964,0.9,0.14673913043478262,0.25233644859813087,0.938265306122449,0.9771519659936238,0.9573138990109318,0.7663024643819791,0.6597716351707249,0.7090580077420016
7,2665,1746,3_ESTA,242,21,16,8.677685950413224,0.625,0.47619047619047616,0.5405405405405405,1.0,0.2857142857142857,0.4444444444444445,0.9513274336283186,0.9728506787330317,0.9619686800894854,0.7881637168141593,0.7245205774617539,0.7550033188041276
8,1439,1686,3_ESTA,389,49,34,12.596401028277635,0.7352941176470589,0.5102040816326531,0.6024096385542169,1.0,0.12244897959183673,0.2181818181818182,0.9323943661971831,0.9735294117647059,0.9525179856115108,0.833844241922121,0.7418667466986795,0.7851710364089601
9,1595,1697,3,2750,182,149,6.618181818181817,0.6040268456375839,0.4945054945054945,0.5438066465256798,0.9464285714285714,0.29120879120879123,0.44537815126050423,0.9646289888504421,0.9770249221183801,0.9707873863416522,0.784327917244013,0.7357652083119373,0.7592708416530083
10,2693,1747,3,439,26,16,5.922551252847381,0.6875,0.4230769230769231,0.5238095238095238,0.625,0.19230769230769232,0.29411764705882354,0.9645390070921985,0.9878934624697336,0.9760765550239234,0.8260195035460993,0.7054851927733283,0.7610091305553596
11,3476,1777,2,2194,138,145,6.289881494986327,0.5103448275862069,0.5362318840579711,0.5229681978798587,0.9387755102040817,0.3333333333333333,0.4919786096256684,0.9687652513421181,0.9654669260700389,0.9671132764920828,0.7395550394641626,0.750849405064005,0.7451594276069787
12,8596,1707,4,1523,160,113,10.505581089954038,0.7787610619469026,0.55,0.6446886446886446,0.9629629629629629,0.1625,0.27807486631016043,0.948936170212766,0.9816581071166545,0.9650198341146773,0.8638486160798343,0.7658290535583272,0.8118910633622132
13,1348,1679,3_ESTA,281,32,10,11.387900355871885,0.9,0.28125,0.4285714285714286,0.75,0.28125,0.4090909090909091,0.915129151291513,0.9959839357429718,0.9538461538461538,0.9075645756457564,0.6386169678714859,0.7496999817085211
14,4071,1713,4,489,62,18,12.678936605316974,0.7777777777777778,0.22580645161290322,0.35000000000000003,0.7777777777777778,0.11290322580645161,0.19718309859154928,0.8980891719745223,0.990632318501171,0.9420935412026726,0.83793347487615,0.6082193850570371,0.704831967529939
