inv_nr	year	round	#tokens	#gold_event_tokens	#predicted_event_tokens	gold_event_density	P-event	R-event	f1-event	lex_precision	lex_recall	lex_f1	P-none	R-none	f1-none	P-macro	R-macro	f1-macro
1160	1647	2	2518	184	132	7.307386814932486	0.49242424242424243	0.3532608695652174	0.41139240506329117	0.7551020408163265	0.20108695652173914	0.31759656652360513	0.9501257334450964	0.9712939160239932	0.9605932203389831	0.7212749879346694	0.6622773927946053	0.690518299344105
1066	1618	4	577	50	32	8.665511265164644	0.625	0.4	0.48780487804878053	0.8181818181818182	0.18	0.29508196721311475	0.944954128440367	0.9772296015180265	0.960820895522388	0.7849770642201834	0.6886148007590133	0.7336452345113997
7673	1716	3_ESTA	598	43	52	7.190635451505016	0.5	0.6046511627906976	0.5473684210526316	0.6875	0.2558139534883721	0.3728813559322034	0.9688644688644689	0.9531531531531532	0.96094459582198	0.7344322344322345	0.7789021579719254	0.7560138131462425
11012	1736	3	3709	301	213	8.115394985171205	0.4413145539906103	0.3122923588039867	0.3657587548638132	0.908256880733945	0.3289036544850498	0.48292682926829267	0.9407894736842105	0.9650821596244131	0.9527809965237544	0.6910520138374104	0.6386872592141999	0.6638385819490473
9001	1720	2	3346	164	173	4.901374775851764	0.4046242774566474	0.4268292682926829	0.4154302670623145	0.6382978723404256	0.18292682926829268	0.28436018957345977	0.9703750393948944	0.9676304211187932	0.9690007867820614	0.6874996584257709	0.697229844705738	0.6923305656381675
3598	1781	3	3609	640	55	17.73344416735938	0.9818181818181818	0.084375	0.1553956834532374	1.0	0.1625	0.27956989247311825	0.8351153629713	0.9996631862579993	0.9100107312586233	0.9084667723947408	0.5420190931289997	0.6789536496909316
1348	1679	3_ESTA	272	32	15	11.76470588235294	0.6666666666666666	0.3125	0.425531914893617	0.75	0.28125	0.4090909090909091	0.914396887159533	0.9791666666666666	0.9456740442655935	0.7905317769130998	0.6458333333333333	0.7108941437628158
1090	1626	2	3413	191	170	5.596249633753296	0.3764705882352941	0.33507853403141363	0.3545706371191136	0.6984126984126984	0.23036649214659685	0.3464566929133858	0.9608387295713845	0.9671011793916822	0.9639597834493425	0.6686546589033393	0.651089856711548	0.6597553706855854
1430	1686	4	2006	179	129	8.923230309072782	0.6124031007751938	0.441340782122905	0.512987012987013	0.9	0.15083798882681565	0.25837320574162687	0.946723494938732	0.9726327312534209	0.9595032397408207	0.7795632978569629	0.7069867566881629	0.7415033565804388
2665	1746	3_ESTA	231	21	8	9.090909090909092	1.0	0.38095238095238093	0.5517241379310345	1.0	0.2857142857142857	0.4444444444444445	0.9417040358744395	1.0	0.9699769053117783	0.9708520179372198	0.6904761904761905	0.8070051413881748
1439	1686	3_ESTA	380	49	22	12.894736842105264	0.8181818181818182	0.3673469387755102	0.5070422535211268	1.0	0.12244897959183673	0.2181818181818182	0.9134078212290503	0.9879154078549849	0.9492017416545718	0.8657948197054343	0.6776311733152476	0.7602432020456391
1595	1697	3	2649	178	124	6.719516798791997	0.6693548387096774	0.46629213483146065	0.5496688741721855	0.9464285714285714	0.29775280898876405	0.452991452991453	0.9623762376237623	0.9834075273168758	0.9727782225780625	0.8158655381667199	0.7248498310741682	0.7676693688215179
2693	1747	3	419	26	17	6.205250596658711	0.5294117647058824	0.34615384615384615	0.41860465116279066	0.625	0.19230769230769232	0.29411764705882354	0.9577114427860697	0.9796437659033079	0.9685534591194969	0.743561603745976	0.662898806028577	0.700917133402868
3476	1777	2	2161	138	114	6.385932438685793	0.5175438596491229	0.427536231884058	0.46825396825396826	0.9387755102040817	0.3333333333333333	0.4919786096256684	0.9614069369809477	0.9728126544735541	0.9670761670761671	0.7394753983150353	0.7001744431788061	0.7192884829861186
8596	1707	4	1482	159	104	10.728744939271255	0.7788461538461539	0.5094339622641509	0.6159695817490494	0.9629629629629629	0.16352201257861634	0.27956989247311825	0.9433962264150944	0.982615268329554	0.9626064420584969	0.8611211901306242	0.7460246152968525	0.7994515524623396
4071	1713	4	475	58	18	12.210526315789473	0.7777777777777778	0.2413793103448276	0.368421052631579	0.7777777777777778	0.1206896551724138	0.208955223880597	0.9037199124726477	0.9904076738609112	0.9450800915331807	0.8407488451252128	0.6158934921028694	0.7109662117757634
